bus_factor.Time,bus_factor,bus_factor.name
2022-04-01,103.0,openjournals_jossreviews
2022-04-01,64.0,openshift_openshiftdocs
2022-04-01,92.0,openshift_release
2022-04-01,37.0,openssl_openssl
2022-04-01,60.0,openvinotoolkit_openvino
2022-04-01,101.0,openwrt_openwrt
2022-04-01,20.0,oppia_oppia
2022-04-01,122.0,PaddlePaddle_Paddle
2022-04-01,147.0,PaddlePaddle_PaddleOCR
2022-04-01,67.0,pandasdev_pandas
2022-04-01,31.0,php_phpsrc
2022-04-01,33.0,pingcap_tidb
2022-04-01,73.0,PixelExperience_androidissues
2022-04-01,95.0,postmanlabs_postmanappsupport
2022-04-01,107.0,PowerShell_PowerShell
2022-04-01,47.0,ppy_osu
2022-04-01,39.0,PrestaShop_PrestaShop
2022-04-01,215.0,prisma_prisma
2022-04-01,35.0,projectchip_connectedhomeip
2022-04-01,147.0,prusa3d_PrusaSlicer
2022-04-01,79.0,python_cpython
2022-04-01,102.0,pytorch_pytorch
2022-04-01,155.0,qbittorrent_qBittorrent
2022-04-01,50.0,qgis_QGIS
2022-04-01,87.0,qmk_qmk_firmware
2022-04-01,126.0,quarkusio_quarkus
2022-04-01,168.0,rails_rails
2022-04-01,219.0,rancher_rancher
2022-04-01,24.0,rapid7_metasploitframework
2022-04-01,38.0,rayproject_ray
2022-04-01,96.0,raycast_extensions
2022-04-01,18.0,redis_redis
2022-04-01,44.0,Regalis11_Barotrauma
2022-04-01,190.0,remixrun_remix
2022-04-01,38.0,renovatebot_renovate
2022-04-01,55.0,RocketChat_Rocket.Chat
2022-04-01,54.0,RPCS3_rpcs3
2022-04-01,96.0,rstudio_rstudio
2022-04-01,132.0,rufflers_ruffle
2022-04-01,125.0,rustlang_rust
2022-04-01,29.0,scikitlearn_scikitlearn
2022-04-01,44.0,scipy_scipy
2022-04-01,240.0,sectionengineeringeducation_engineeringeducation
2022-04-01,36.0,SerenityOS_serenity
2022-04-01,157.0,ShadowMario_FNFPsychEngine
2022-04-01,23.0,SkyratSS13_Skyrattg
2022-04-01,33.0,solanalabs_solana
2022-04-01,539.0,solanalabs_tokenlist
2022-04-01,34.0,sourcegraph_sourcegraph
2022-04-01,70.0,spack_spack
2022-04-01,158.0,spyderide_spyder
2022-04-01,201.0,storybookjs_storybook
2022-04-01,162.0,strapi_strapi
2022-04-01,164.0,sveltejs_kit
2022-04-01,87.0,symfony_symfony
2022-04-01,68.0,systemd_systemd
2022-04-01,145.0,tachiyomiorg_tachiyomi
2022-04-01,234.0,tachiyomiorg_tachiyomiextensions
2022-04-01,38.0,tailscale_tailscale
2022-04-01,18.0,taosdata_TDengine
2022-04-01,694.0,taozhiyu_TyProAction
2022-04-01,200.0,TeamNewPipe_NewPipe
2022-04-01,311.0,tensorflow_tensorflow
2022-04-01,56.0,termux_termuxpackages
2022-04-01,73.0,tgstation_tgstation
2022-04-01,261.0,TPLab_tokens
2022-04-01,25.0,trinodb_trino
2022-04-01,183.0,trustwallet_assets
2022-04-01,82.0,typechallenges_typechallenges
2022-04-01,322.0,uBlockOrigin_uAssets
2022-04-01,238.0,Ultimaker_Cura
2022-04-01,305.0,ultralytics_yolov5
2022-04-01,34.0,unifyai_ivy
2022-04-01,203.0,ValveSoftware_Proton
2022-04-01,13.0,vectordotdev_vector
2022-04-01,407.0,vercel_next.js
2022-04-01,277.0,vitejs_vite
2022-04-01,81.0,voidlinux_voidpackages
2022-04-01,119.0,webcompat_webbugs
2022-04-01,61.0,woocommerce_woocommerce
2022-04-01,71.0,WordPress_gutenberg
2022-04-01,11.0,xamarin_xamarinmacios
2022-04-01,22.0,xbmc_xbmc
2022-04-01,280.0,ytdlp_ytdlp
2022-04-01,105.0,yuzuemu_yuzu
2022-04-01,95.0,zephyrprojectrtos_zephyr
2022-04-01,181.0,zerotomastery_starthereguidelines
2022-04-01,66.0,ziglang_zig
2022-04-01,33.0,zulip_zulip
2022-05-01,16.0,AdguardTeam_AdguardFilters
2022-05-01,46.0,airbytehq_airbyte
2022-05-01,135.0,alibaba_nacos
2022-05-01,62.0,angular_angular
2022-05-01,24.0,angular_components
2022-05-01,10.0,ankidroid_AnkiAndroid
2022-05-01,46.0,ansible_ansible
