issue_comments.Time,issue_comments,issue_comments.name
2015-03-01,596.0,woocommerce_woocommerce
2015-03-01,2899.0,xbmc_xbmc
2015-04-01,187.0,AdguardTeam_AdguardFilters
2015-04-01,1074.0,angular_angular
2015-04-01,108.0,ankidroid_AnkiAndroid
2015-04-01,758.0,ansible_ansible
2015-04-01,439.0,apache_flink
2015-04-01,10115.0,apache_spark
2015-04-01,586.0,ArduPilot_ardupilot
2015-04-01,513.0,Automattic_jetpack
2015-04-01,69.0,Azure_azurepowershell
2015-04-01,12.0,Azure_azuresdkforjava
2015-04-01,83.0,Azure_azuresdkfornet
2015-04-01,33.0,Azure_azuresdkforpython
2015-04-01,843.0,bitcoin_bitcoin
2015-04-01,1408.0,ceph_ceph
2015-04-01,1999.0,CleverRaven_CataclysmDDA
2015-04-01,3489.0,cmssw_cmssw
2015-04-01,799.0,cockroachdb_cockroach
2015-04-01,25.0,cypressio_cypress
2015-04-01,21.0,darktableorg_darktable
2015-04-01,506.0,DefinitelyTyped_DefinitelyTyped
2015-04-01,20.0,directus_directus
2015-04-01,477.0,dotnet_aspnetcore
2015-04-01,116.0,dotnet_AspNetCore.Docs
2015-04-01,310.0,dotnet_efcore
2015-04-01,2777.0,dotnet_roslyn
2015-04-01,2427.0,elastic_elasticsearch
2015-04-01,1041.0,elastic_kibana
2015-04-01,586.0,electron_electron
2015-04-01,1223.0,facebook_react
2015-04-01,2359.0,facebook_reactnative
2015-04-01,9.0,flutter_flutter
2015-04-01,145.0,getsentry_sentry
2015-04-01,606.0,godotengine_godot
2015-04-01,1427.0,golang_go
2015-04-01,61.0,gradle_gradle
2015-04-01,819.0,grafana_grafana
2015-04-01,521.0,grpc_grpc
2015-04-01,139.0,hashicorp_vault
2015-04-01,89.0,homeassistant_core
2015-04-01,4.0,homeassistant_homeassistant.io
2015-04-01,754.0,Homebrew_homebrewcask
2015-04-01,81.0,JetBrains_swot
2015-04-01,61.0,jitsi_jitsimeet
2015-04-01,154.0,jlord_patchwork
2015-04-01,1421.0,joomla_joomlacms
2015-04-01,3492.0,JuliaLang_julia
2015-04-01,38.0,keycloak_keycloak
2015-04-01,8386.0,kubernetes_kubernetes
2015-04-01,1353.0,laravel_framework
2015-04-01,341.0,magento_magento2
2015-04-01,1769.0,MarlinFirmware_Marlin
2015-04-01,665.0,matplotlib_matplotlib
2015-04-01,39.0,matrixorg_synapse
2015-04-01,2133.0,microsoft_TypeScript
2015-04-01,873.0,mrdoob_three.js
2015-04-01,238.0,mui_materialui
2015-04-01,2044.0,neovim_neovim
2015-04-01,1656.0,NixOS_nixpkgs
2015-04-01,2744.0,nodejs_node
2015-04-01,20.0,obsproject_obsstudio
2015-04-01,1210.0,odoo_odoo
2015-04-01,267.0,opencv_opencv
2015-04-01,277.0,openhab_openhabaddons
2015-04-01,165.0,openshift_openshiftdocs
2015-04-01,40.0,openssl_openssl
2015-04-01,1418.0,pandasdev_pandas
2015-04-01,166.0,php_phpsrc
2015-04-01,136.0,postmanlabs_postmanappsupport
2015-04-01,191.0,PrestaShop_PrestaShop
2015-04-01,711.0,qbittorrent_qBittorrent
2015-04-01,116.0,qgis_QGIS
