participants.Time,participants.name,participants
2015-03-01,rstudio_rstudio,10.0
2015-03-01,rustlang_rust,427.0
2015-03-01,scikitlearn_scikitlearn,136.0
2015-03-01,scipy_scipy,90.0
2015-03-01,spack_spack,6.0
2015-03-01,spyderide_spyder,64.0
2015-03-01,symfony_symfony,284.0
2015-03-01,systemd_systemd,2.0
2015-03-01,tgstation_tgstation,159.0
2015-03-01,webcompat_webbugs,61.0
2015-03-01,woocommerce_woocommerce,216.0
2015-03-01,xbmc_xbmc,116.0
2015-04-01,AdguardTeam_AdguardFilters,3.0
2015-04-01,angular_angular,138.0
2015-04-01,ankidroid_AnkiAndroid,12.0
2015-04-01,ansible_ansible,353.0
2015-04-01,apache_flink,40.0
2015-04-01,apache_spark,280.0
2015-04-01,ArduPilot_ardupilot,106.0
2015-04-01,Automattic_jetpack,109.0
2015-04-01,Azure_azurepowershell,47.0
2015-04-01,Azure_azuresdkforjava,11.0
2015-04-01,Azure_azuresdkfornet,37.0
2015-04-01,Azure_azuresdkforpython,12.0
2015-04-01,bitcoin_bitcoin,87.0
2015-04-01,ceph_ceph,71.0
2015-04-01,CleverRaven_CataclysmDDA,109.0
2015-04-01,cmssw_cmssw,127.0
2015-04-01,cockroachdb_cockroach,24.0
2015-04-01,cypressio_cypress,3.0
2015-04-01,darktableorg_darktable,15.0
2015-04-01,DefinitelyTyped_DefinitelyTyped,185.0
2015-04-01,directus_directus,6.0
2015-04-01,dotnet_aspnetcore,151.0
2015-04-01,dotnet_AspNetCore.Docs,25.0
2015-04-01,dotnet_efcore,78.0
2015-04-01,dotnet_roslyn,294.0
2015-04-01,elastic_elasticsearch,413.0
2015-04-01,elastic_kibana,359.0
2015-04-01,electron_electron,161.0
2015-04-01,facebook_react,317.0
2015-04-01,facebook_reactnative,471.0
2015-04-01,flutter_flutter,6.0
2015-04-01,getsentry_sentry,61.0
2015-04-01,godotengine_godot,119.0
2015-04-01,golang_go,262.0
2015-04-01,gradle_gradle,26.0
2015-04-01,grafana_grafana,226.0
2015-04-01,grpc_grpc,50.0
2015-04-01,hashicorp_vault,63.0
2015-04-01,homeassistant_core,10.0
2015-04-01,homeassistant_homeassistant.io,3.0
2015-04-01,Homebrew_homebrewcask,309.0
2015-04-01,JetBrains_swot,110.0
2015-04-01,jitsi_jitsimeet,17.0
2015-04-01,jlord_patchwork,436.0
2015-04-01,joomla_joomlacms,221.0
2015-04-01,JuliaLang_julia,205.0
2015-04-01,keycloak_keycloak,18.0
2015-04-01,kubernetes_kubernetes,316.0
2015-04-01,laravel_framework,381.0
2015-04-01,magento_magento2,97.0
2015-04-01,MarlinFirmware_Marlin,111.0
2015-04-01,matplotlib_matplotlib,110.0
2015-04-01,matrixorg_synapse,9.0
2015-04-01,microsoft_TypeScript,263.0
2015-04-01,mrdoob_three.js,151.0
2015-04-01,mui_materialui,110.0
2015-04-01,neovim_neovim,206.0
2015-04-01,NixOS_nixpkgs,228.0
2015-04-01,nodejs_node,305.0
2015-04-01,obsproject_obsstudio,14.0
2015-04-01,odoo_odoo,350.0
2015-04-01,opencv_opencv,50.0
2015-04-01,openhab_openhabaddons,33.0
2015-04-01,openshift_openshiftdocs,31.0
2015-04-01,openssl_openssl,26.0
2015-04-01,pandasdev_pandas,183.0
2015-04-01,php_phpsrc,61.0
2015-04-01,postmanlabs_postmanappsupport,96.0
2015-04-01,PrestaShop_PrestaShop,69.0
2015-04-01,qbittorrent_qBittorrent,125.0
2015-04-01,qgis_QGIS,29.0
2015-04-01,qmk_qmk_firmware,3.0
2015-04-01,rails_rails,446.0
2015-04-01,rancher_rancher,41.0
2015-04-01,rapid7_metasploitframework,118.0
2015-04-01,redis_redis,98.0
2015-04-01,RPCS3_rpcs3,19.0
2015-04-01,rstudio_rstudio,8.0
2015-04-01,rustlang_rust,502.0
2015-04-01,scikitlearn_scikitlearn,158.0
2015-04-01,scipy_scipy,85.0
2015-04-01,spack_spack,7.0
2015-04-01,spyderide_spyder,64.0
2015-04-01,symfony_symfony,292.0
2015-04-01,systemd_systemd,1.0
2015-04-01,tgstation_tgstation,172.0
2015-04-01,webcompat_webbugs,45.0
2015-04-01,woocommerce_woocommerce,178.0
2015-04-01,xbmc_xbmc,87.0
2015-05-01,AdguardTeam_AdguardFilters,4.0
2015-05-01,angular_angular,185.0
2015-05-01,ankidroid_AnkiAndroid,11.0
2015-05-01,ansible_ansible,348.0
2015-05-01,antdesign_antdesign,1.0
2015-05-01,apache_flink,43.0
2015-05-01,apache_spark,248.0
2015-05-01,ArduPilot_ardupilot,106.0
2015-05-01,Automattic_jetpack,89.0
2015-05-01,Azure_azurepowershell,78.0
2015-05-01,Azure_azuresdkforjava,11.0
2015-05-01,Azure_azuresdkfornet,45.0
2015-05-01,Azure_azuresdkforpython,18.0
2015-05-01,bitcoin_bitcoin,91.0
2015-05-01,ceph_ceph,83.0
2015-05-01,CleverRaven_CataclysmDDA,99.0
2015-05-01,cmssw_cmssw,158.0
2015-05-01,cockroachdb_cockroach,27.0
2015-05-01,cypressio_cypress,2.0
2015-05-01,darktableorg_darktable,19.0
2015-05-01,DefinitelyTyped_DefinitelyTyped,231.0
2015-05-01,directus_directus,5.0
2015-05-01,dotnet_aspnetcore,178.0
2015-05-01,dotnet_AspNetCore.Docs,68.0
2015-05-01,dotnet_docs,2.0
2015-05-01,dotnet_efcore,127.0
2015-05-01,dotnet_roslyn,272.0
2015-05-01,elastic_elasticsearch,357.0
2015-05-01,elastic_kibana,336.0
2015-05-01,electron_electron,265.0
2015-05-01,facebook_react,266.0
2015-05-01,facebook_reactnative,322.0
2015-05-01,flutter_flutter,17.0
2015-05-01,gatsbyjs_gatsby,1.0
2015-05-01,getsentry_sentry,47.0
2015-05-01,godotengine_godot,146.0
2015-05-01,golang_go,246.0
2015-05-01,gradle_gradle,31.0
2015-05-01,grafana_grafana,218.0
2015-05-01,grpc_grpc,62.0
2015-05-01,hashicorp_vault,107.0
2015-05-01,homeassistant_core,14.0
2015-05-01,homeassistant_homeassistant.io,2.0
2015-05-01,Homebrew_homebrewcask,298.0
2015-05-01,JetBrains_swot,113.0
2015-05-01,jitsi_jitsimeet,20.0
2015-05-01,jlord_patchwork,468.0
2015-05-01,joomla_joomlacms,189.0
2015-05-01,JuliaLang_julia,217.0
2015-05-01,keycloak_keycloak,17.0
2015-05-01,kubernetes_kubernetes,331.0
2015-05-01,laravel_framework,352.0
2015-05-01,magento_magento2,119.0
2015-05-01,MarlinFirmware_Marlin,115.0
2015-05-01,matplotlib_matplotlib,86.0
2015-05-01,matrixorg_synapse,8.0
2015-05-01,microsoft_TypeScript,301.0
2015-05-01,mrdoob_three.js,152.0
2015-05-01,mui_materialui,124.0
2015-05-01,neovim_neovim,175.0
2015-05-01,NixOS_nixpkgs,209.0
2015-05-01,nodejs_node,360.0
2015-05-01,obsproject_obsstudio,11.0
2015-05-01,odoo_odoo,302.0
2015-05-01,opencv_opencv,63.0
2015-05-01,openhab_openhabaddons,39.0
2015-05-01,openshift_openshiftdocs,47.0
2015-05-01,openssl_openssl,32.0
2015-05-01,pandasdev_pandas,178.0
2015-05-01,php_phpsrc,80.0
2015-05-01,postmanlabs_postmanappsupport,87.0
2015-05-01,PrestaShop_PrestaShop,51.0
2015-05-01,qbittorrent_qBittorrent,231.0
2015-05-01,qgis_QGIS,43.0
2015-05-01,qmk_qmk_firmware,2.0
2015-05-01,rails_rails,405.0
2015-05-01,rancher_rancher,52.0
2015-05-01,rapid7_metasploitframework,86.0
2015-05-01,redis_redis,67.0
2015-05-01,RocketChat_Rocket.Chat,25.0
