stars.Time,stars.name,stars
2015-03-01,woocommerce_woocommerce,86.0
2015-03-01,xbmc_xbmc,92.0
2015-04-01,angular_angular,641.0
2015-04-01,ankidroid_AnkiAndroid,12.0
2015-04-01,ansible_ansible,534.0
2015-04-01,antdesign_antdesign,1.0
2015-04-01,apache_flink,37.0
2015-04-01,apache_spark,432.0
2015-04-01,ArduPilot_ardupilot,70.0
2015-04-01,Automattic_jetpack,9.0
2015-04-01,Azure_azurepowershell,24.0
2015-04-01,Azure_azuresdkforjava,6.0
2015-04-01,Azure_azuresdkfornet,14.0
2015-04-01,Azure_azuresdkforpython,13.0
2015-04-01,bitcoin_bitcoin,143.0
2015-04-01,ceph_ceph,84.0
2015-04-01,CleverRaven_CataclysmDDA,22.0
2015-04-01,cmssw_cmssw,9.0
2015-04-01,cockroachdb_cockroach,144.0
2015-04-01,darktableorg_darktable,28.0
2015-04-01,DefinitelyTyped_DefinitelyTyped,332.0
2015-04-01,directus_directus,23.0
2015-04-01,dotnet_aspnetcore,268.0
2015-04-01,dotnet_AspNetCore.Docs,21.0
2015-04-01,dotnet_efcore,118.0
2015-04-01,dotnet_roslyn,468.0
2015-04-01,elastic_elasticsearch,465.0
2015-04-01,elastic_kibana,172.0
2015-04-01,electron_electron,3286.0
2015-04-01,facebook_react,2058.0
2015-04-01,facebook_reactnative,3125.0
2015-04-01,flutter_flutter,32.0
2015-04-01,getsentry_sentry,221.0
2015-04-01,godotengine_godot,188.0
2015-04-01,golang_go,579.0
2015-04-01,gradle_gradle,86.0
2015-04-01,grafana_grafana,396.0
2015-04-01,grpc_grpc,175.0
2015-04-01,hashicorp_vault,1439.0
2015-04-01,homeassistant_core,37.0
2015-04-01,Homebrew_homebrewcask,229.0
2015-04-01,JetBrains_swot,7.0
2015-04-01,jitsi_jitsimeet,28.0
2015-04-01,jlord_patchwork,8.0
2015-04-01,joomla_joomlacms,36.0
2015-04-01,JuliaLang_julia,142.0
